Time_µs	C1 Voltage_mV
-4.825380E+0	1.562500E+1
-4.801380E+0	1.562500E+1
-4.777380E+0	-1.562500E+1
-4.753380E+0	-1.562500E+1
-4.729380E+0	3.125000E+1
-4.705380E+0	1.562500E+1
-4.681380E+0	0.000000E+0
-4.657380E+0	-1.562500E+1
-4.633380E+0	-1.562500E+1
-4.609380E+0	-1.562500E+1
-4.585380E+0	0.000000E+0
-4.561380E+0	-1.562500E+1
-4.537380E+0	0.000000E+0
-4.513380E+0	1.562500E+1
-4.489380E+0	0.000000E+0
-4.465380E+0	1.562500E+1
-4.441380E+0	-3.125000E+1
-4.417380E+0	0.000000E+0
-4.393380E+0	3.125000E+1
-4.369380E+0	1.562500E+1
-4.345380E+0	3.125000E+1
-4.321380E+0	0.000000E+0
-4.297380E+0	0.000000E+0
-4.273380E+0	-1.562500E+1
-4.249380E+0	3.125000E+1
-4.225380E+0	0.000000E+0
-4.201380E+0	-3.125000E+1
-4.177380E+0	-1.562500E+1
-4.153380E+0	-3.125000E+1
-4.129380E+0	1.562500E+1
-4.105380E+0	0.000000E+0
-4.081380E+0	0.000000E+0
-4.057380E+0	-1.562500E+1
-4.033380E+0	3.125000E+1
-4.009380E+0	1.562500E+1
-3.985380E+0	0.000000E+0
-3.961380E+0	0.000000E+0
-3.937380E+0	0.000000E+0
-3.913380E+0	-1.562500E+1
-3.889380E+0	-1.562500E+1
-3.865380E+0	-1.562500E+1
-3.841380E+0	-1.562500E+1
-3.817380E+0	0.000000E+0
-3.793380E+0	1.562500E+1
-3.769380E+0	-1.562500E+1
-3.745380E+0	1.562500E+1
-3.721380E+0	4.687500E+1
-3.697380E+0	0.000000E+0
-3.673380E+0	-1.562500E+1
-3.649380E+0	0.000000E+0
-3.625380E+0	-1.562500E+1
-3.601380E+0	0.000000E+0
-3.577380E+0	1.562500E+1
-3.553380E+0	0.000000E+0
-3.529380E+0	0.000000E+0
-3.505380E+0	-1.562500E+1
-3.481380E+0	-1.562500E+1
-3.457380E+0	1.562500E+1
-3.433380E+0	4.687500E+1
-3.409380E+0	-1.562500E+1
-3.385380E+0	1.562500E+1
-3.361380E+0	0.000000E+0
-3.337380E+0	-1.562500E+1
-3.313380E+0	-1.562500E+1
-3.289380E+0	0.000000E+0
-3.265380E+0	0.000000E+0
-3.241380E+0	1.562500E+1
-3.217380E+0	0.000000E+0
-3.193380E+0	1.562500E+1
-3.169380E+0	0.000000E+0
-3.145380E+0	-1.562500E+1
-3.121380E+0	0.000000E+0
-3.097380E+0	1.562500E+1
-3.073380E+0	-1.562500E+1
-3.049380E+0	1.562500E+1
-3.025380E+0	0.000000E+0
-3.001380E+0	0.000000E+0
-2.977380E+0	1.562500E+1
-2.953380E+0	1.562500E+1
-2.929380E+0	0.000000E+0
-2.905380E+0	0.000000E+0
-2.881380E+0	1.562500E+1
-2.857380E+0	1.562500E+1
-2.833380E+0	0.000000E+0
-2.809380E+0	-1.562500E+1
-2.785380E+0	1.562500E+1
-2.761380E+0	-1.562500E+1
-2.737380E+0	-1.562500E+1
-2.713380E+0	-1.562500E+1
-2.689380E+0	-3.125000E+1
-2.665380E+0	0.000000E+0
-2.641380E+0	3.125000E+1
-2.617380E+0	1.562500E+1
-2.593380E+0	-1.562500E+1
-2.569380E+0	-3.125000E+1
-2.545380E+0	-1.562500E+1
-2.521380E+0	-1.562500E+1
-2.497380E+0	-1.562500E+1
-2.473380E+0	1.562500E+1
-2.449380E+0	0.000000E+0
-2.425380E+0	-1.562500E+1
-2.401380E+0	1.562500E+1
-2.377380E+0	0.000000E+0
-2.353380E+0	-1.562500E+1
-2.329380E+0	3.125000E+1
-2.305380E+0	0.000000E+0
-2.281380E+0	3.125000E+1
-2.257380E+0	0.000000E+0
-2.233380E+0	0.000000E+0
-2.209380E+0	1.562500E+1
-2.185380E+0	0.000000E+0
-2.161380E+0	1.562500E+1
-2.137380E+0	1.562500E+1
-2.113380E+0	3.125000E+1
-2.089380E+0	3.125000E+1
-2.065380E+0	-1.562500E+1
-2.041380E+0	0.000000E+0
-2.017380E+0	1.562500E+1
-1.993380E+0	-1.562500E+1
-1.969380E+0	-1.562500E+1
-1.945380E+0	1.562500E+1
-1.921380E+0	1.562500E+1
-1.897380E+0	-1.562500E+1
-1.873380E+0	0.000000E+0
-1.849380E+0	1.562500E+1
-1.825380E+0	0.000000E+0
-1.801380E+0	0.000000E+0
-1.777380E+0	-1.562500E+1
-1.753380E+0	0.000000E+0
-1.729380E+0	0.000000E+0
-1.705380E+0	1.562500E+1
-1.681380E+0	-1.562500E+1
-1.657380E+0	1.562500E+1
-1.633380E+0	-1.562500E+1
-1.609380E+0	-1.562500E+1
-1.585380E+0	0.000000E+0
-1.561380E+0	-1.562500E+1
-1.537380E+0	1.562500E+1
-1.513380E+0	0.000000E+0
-1.489380E+0	0.000000E+0
-1.465380E+0	1.562500E+1
-1.441380E+0	1.562500E+1
-1.417380E+0	1.562500E+1
-1.393380E+0	-4.687500E+1
-1.369380E+0	3.125000E+1
-1.345380E+0	1.562500E+1
-1.321380E+0	3.125000E+1
-1.297380E+0	-1.562500E+1
-1.273380E+0	0.000000E+0
-1.249380E+0	-1.562500E+1
-1.225380E+0	1.562500E+1
-1.201380E+0	-1.562500E+1
-1.177380E+0	1.562500E+1
-1.153380E+0	0.000000E+0
-1.129380E+0	0.000000E+0
-1.105380E+0	0.000000E+0
-1.081380E+0	3.125000E+1
-1.057380E+0	0.000000E+0
-1.033380E+0	1.562500E+1
-1.009380E+0	0.000000E+0
-9.853803E-1	0.000000E+0
-9.613803E-1	1.562500E+1
-9.373803E-1	1.562500E+1
-9.133803E-1	1.562500E+1
-8.893803E-1	0.000000E+0
-8.653803E-1	-1.562500E+1
-8.413803E-1	0.000000E+0
-8.173803E-1	-1.562500E+1
-7.933803E-1	0.000000E+0
-7.693803E-1	-1.562500E+1
-7.453803E-1	0.000000E+0
-7.213803E-1	0.000000E+0
-6.973803E-1	3.125000E+1
-6.733803E-1	1.562500E+1
-6.493803E-1	3.125000E+1
-6.253803E-1	0.000000E+0
-6.013803E-1	-3.125000E+1
-5.773803E-1	1.562500E+1
-5.533803E-1	1.562500E+1
-5.293803E-1	1.562500E+1
-5.053803E-1	1.562500E+1
-4.813803E-1	0.000000E+0
-4.573803E-1	1.562500E+1
-4.333803E-1	0.000000E+0
-4.093803E-1	-1.562500E+1
-3.853803E-1	1.562500E+1
-3.613803E-1	-1.562500E+1
-3.373803E-1	-1.562500E+1
-3.133803E-1	0.000000E+0
-2.893803E-1	0.000000E+0
-2.653803E-1	0.000000E+0
-2.413803E-1	-1.562500E+1
-2.173803E-1	-1.562500E+1
-1.933803E-1	1.562500E+1
-1.693803E-1	1.562500E+1
-1.453803E-1	-3.125000E+1
-1.213803E-1	1.562500E+1
-9.738028E-2	1.562500E+1
-7.338028E-2	-1.562500E+1
-4.938028E-2	-1.562500E+1
-2.538028E-2	1.562500E+1
-1.380283E-3	3.125000E+1
2.261972E-2	1.562500E+1
4.661972E-2	0.000000E+0
7.061971E-2	1.562500E+1
9.461971E-2	3.125000E+1
1.186197E-1	3.125000E+1
1.426197E-1	-1.562500E+1
1.666197E-1	1.562500E+1
1.906197E-1	1.562500E+1
2.146197E-1	0.000000E+0
2.386197E-1	1.562500E+1
2.626197E-1	0.000000E+0
2.866197E-1	0.000000E+0
3.106197E-1	0.000000E+0
3.346197E-1	0.000000E+0
3.586197E-1	-1.562500E+1
3.826197E-1	3.125000E+1
4.066197E-1	1.562500E+1
4.306197E-1	-1.562500E+1
4.546197E-1	1.562500E+1
4.786197E-1	-1.562500E+1
5.026197E-1	0.000000E+0
5.266197E-1	0.000000E+0
5.506197E-1	0.000000E+0
5.746197E-1	1.562500E+1
5.986197E-1	1.562500E+1
6.226197E-1	1.562500E+1
6.466197E-1	0.000000E+0
6.706197E-1	0.000000E+0
6.946197E-1	0.000000E+0
7.186197E-1	-1.562500E+1
7.426197E-1	-1.562500E+1
7.666197E-1	1.562500E+1
7.906197E-1	1.562500E+1
8.146197E-1	0.000000E+0
8.386197E-1	0.000000E+0
8.626197E-1	1.562500E+1
8.866197E-1	1.562500E+1
9.106197E-1	0.000000E+0
9.346197E-1	0.000000E+0
9.586197E-1	3.125000E+1
9.826197E-1	1.562500E+1
1.006620E+0	-3.125000E+1
1.030620E+0	1.562500E+1
1.054620E+0	0.000000E+0
1.078620E+0	-1.562500E+1
1.102620E+0	4.687500E+1
1.126620E+0	1.562500E+1
1.150620E+0	-1.562500E+1
1.174620E+0	1.562500E+1
1.198620E+0	3.125000E+1
1.222620E+0	1.562500E+1
1.246620E+0	0.000000E+0
1.270620E+0	3.125000E+1
1.294620E+0	0.000000E+0
1.318620E+0	1.562500E+1
1.342620E+0	-1.562500E+1
1.366620E+0	1.562500E+1
1.390620E+0	-1.562500E+1
1.414620E+0	1.562500E+1
1.438620E+0	1.562500E+1
1.462620E+0	0.000000E+0
1.486620E+0	3.125000E+1
1.510620E+0	-1.562500E+1
1.534620E+0	1.562500E+1
1.558620E+0	1.562500E+1
1.582620E+0	1.562500E+1
1.606620E+0	-1.562500E+1
1.630620E+0	0.000000E+0
1.654620E+0	0.000000E+0
1.678620E+0	0.000000E+0
1.702620E+0	1.562500E+1
1.726620E+0	-1.562500E+1
1.750620E+0	1.562500E+1
1.774620E+0	-1.562500E+1
1.798620E+0	1.562500E+1
1.822620E+0	-1.562500E+1
1.846620E+0	1.562500E+1
1.870620E+0	-1.562500E+1
1.894620E+0	1.562500E+1
1.918620E+0	1.562500E+1
1.942620E+0	3.125000E+1
1.966620E+0	0.000000E+0
1.990620E+0	1.562500E+1
2.014620E+0	0.000000E+0
2.038620E+0	-1.562500E+1
2.062620E+0	1.562500E+1
2.086620E+0	-1.562500E+1
2.110620E+0	1.562500E+1
2.134620E+0	1.562500E+1
2.158620E+0	-1.562500E+1
2.182620E+0	1.562500E+1
2.206620E+0	0.000000E+0
2.230620E+0	0.000000E+0
2.254620E+0	-1.562500E+1
2.278620E+0	0.000000E+0
2.302620E+0	0.000000E+0
2.326620E+0	0.000000E+0
2.350620E+0	-1.562500E+1
2.374620E+0	1.562500E+1
2.398620E+0	0.000000E+0
2.422620E+0	-1.562500E+1
2.446620E+0	1.562500E+1
2.470620E+0	0.000000E+0
2.494620E+0	1.562500E+1
