Time_ms	C1 Voltage_mV
1.440001E+1	1.937501E+0
1.452601E+1	1.937501E+0
1.465201E+1	2.250001E+0
1.477801E+1	1.937501E+0
1.490401E+1	1.937501E+0
1.503001E+1	2.562501E+0
1.515601E+1	1.625001E+0
1.528201E+1	1.937501E+0
1.540801E+1	2.250001E+0
1.553401E+1	2.562501E+0
1.566001E+1	2.250001E+0
1.578601E+1	1.625001E+0
1.591201E+1	2.250001E+0
1.603801E+1	2.562501E+0
1.616401E+1	1.937501E+0
1.629001E+1	1.937501E+0
1.641601E+1	1.937501E+0
1.654201E+1	2.250001E+0
1.666801E+1	1.937501E+0
1.679401E+1	2.562501E+0
1.692001E+1	2.250001E+0
1.704601E+1	2.875001E+0
1.717201E+1	2.250001E+0
1.729801E+1	2.250001E+0
1.742401E+1	2.562501E+0
1.755001E+1	1.937501E+0
1.767601E+1	1.937501E+0
1.780201E+1	1.937501E+0
1.792801E+1	2.250001E+0
1.805401E+1	2.875001E+0
1.818001E+1	2.562501E+0
1.830601E+1	2.562501E+0
1.843201E+1	2.562501E+0
1.855801E+1	2.562501E+0
1.868401E+1	2.250001E+0
1.881001E+1	2.562501E+0
1.893601E+1	2.562501E+0
1.906201E+1	1.937501E+0
1.918801E+1	2.562501E+0
1.931401E+1	2.250001E+0
1.944001E+1	1.937501E+0
1.956601E+1	1.937501E+0
1.969201E+1	1.937501E+0
1.981801E+1	1.625001E+0
1.994401E+1	2.562501E+0
2.007001E+1	2.250001E+0
2.019601E+1	2.562501E+0
2.032201E+1	1.937501E+0
2.044801E+1	1.625001E+0
2.057401E+1	1.937501E+0
2.070001E+1	1.937501E+0
2.082601E+1	2.250001E+0
2.095201E+1	1.625001E+0
2.107801E+1	2.562501E+0
2.120401E+1	2.562501E+0
2.133001E+1	2.250001E+0
2.145601E+1	2.250001E+0
2.158201E+1	1.937501E+0
2.170801E+1	1.937501E+0
2.183401E+1	1.625001E+0
2.196001E+1	1.625001E+0
2.208601E+1	1.937501E+0
2.221201E+1	1.937501E+0
2.233801E+1	2.250001E+0
2.246401E+1	2.562501E+0
2.259001E+1	1.937501E+0
2.271601E+1	2.562501E+0
2.284201E+1	2.250001E+0
2.296801E+1	2.250001E+0
2.309401E+1	1.937501E+0
2.322001E+1	2.250001E+0
2.334601E+1	2.562501E+0
